افریقہ	África
چاکلیٹ	Chocolate
طیارہ	Avião
جنگ	Guerra
1 (عدد)	Um
2 (عدد)	Dois
3 (عدد)	Três
4 (عدد)	Quatro
5 (عدد)	Cinco
صفر (عدد)	0 (número)
متناہی اور لامتناہی	Infinito
اسٹیفن ہارپر	Stephen Harper
جارج ڈبلیو بش	George W. Bush
مستطیل	Retângulo
لٹویا	Letónia
یوکرین	Ucrânia
چیک جمہوریہ	República Checa
سلوواکیہ	Eslováquia
سلووینیا	Eslovénia
ولنیس	Vilnius
مالدووا	Moldávia
رومانیہ	Roménia
بلغاریہ	Bulgária
روم	Roma
جمہوریہ مقدونیہ	República da Macedónia
البانیا	Albânia
گرین لینڈ	Gronelândia
کروشیا	Croácia
بوسنیا و ہرزیگووینا	Bósnia e Herzegovina
نوک	Nuuk
آذربائیجان	Azerbaijão
انڈورا	Andorra
قبرص	Chipre
جارجیا	Geórgia
والونیا	Valônia
قازقستان	Cazaquistão
مالٹا	Malta
فلینڈرس	Flandres
موناکو	Mónaco
مونٹینیگرو	Montenegro
ویٹیکن سٹی	Vaticano
سان مارینو	San Marino
برسلز	Bruxelas
کیوبا	Cuba
بیلیز	Belize
ایفل ٹاور	Torre Eiffel
بارباڈوس	Barbados
ووکس ویگن	Volkswagen
لاسلکی	Comunicações sem fio
تختۂ کلید	Teclado (informática)
انڈونیشیا	Indonésia
وولف گینگ موزارٹ	Wolfgang Amadeus Mozart
لڈوگ بیتھوون	Ludwig van Beethoven
ترکی زبان	Língua turca
جنوبی افریقہ	África do Sul
لنکن پارک	Linkin Park
الجزائر	Argélia
ازبکستان	Uzbequistão
پوزنان	Poznań
تاشقند	Tashkent
وارسا	Varsóvia
شراب	Vinho
پانی	Água
چمڑہ	Couro
لکڑی	Madeira
ٹیلی ویژن	Televisão
جنس (حیاتیات)	Sexo
فحش نگاری	Pornografia
ڈیگو ولازکوئز	Diego Velázquez
چلی	Chile
ایل گریکو	El Greco
عیسیٰ علیہ السلام	Jesus
ایلوس پریسلے	Elvis Presley
جسمانی سزا	Castigo corporal
گلیلیو گلیلی	Galileu Galilei
عطارد	Mercúrio (planeta)
تاریخ	História
ایپل انکارپوریشن	Apple
زہرہ	Vénus (planeta)
لسان	Linguagem
محبت	Amor
آمریت	Ditadura
کہکشاں	Galáxia
مشتری	Júpiter (planeta)
مشیل باشیلے	Michelle Bachelet
جادہ شیر	Via Láctea
انفجار عظیم	Big Bang
یورینس	Urano (planeta)
برٹنی	Bretanha
انگریزی ویکیپیڈیا	Wikipédia em inglês
نکولس سرکوزی	Nicolas Sarkozy
نیپچون	Netuno (planeta)
فلکیات	Astronomia
سنگاپور	Singapura
سائنس	Ciência
علم الکائنات	Cosmologia
پلوٹو	Plutão
مانٹریال	Montreal
آزاد سوفٹویئر	Software livre
لا فلیشی	La Flèche
مستقبل	Futuro
مریم علیہا السلام	Maria (mãe de Jesus)
لیختینستائن	Liechtenstein
کھیل کود	Desporto
کیمبرج	Cambridge
ییلوسٹون نیشنل پارک	Parque Nacional de Yellowstone
ہٹلر	Adolf Hitler
فیس بک	Facebook
گوگل+	Google+
گوانتانمو قید خانہ	Prisão de Guantánamo
ویکی لیکس	WikiLeaks
جولین اسانژ	Julian Assange
پہلی جنگ عظیم	Primeira Guerra Mundial
دوسری جنگ عظیم	Segunda Guerra Mundial
کولون (علاقہ)	Colônia (Alemanha)
سیاسی بدعنوانی	Corrupção
آگسٹو پنوشے	Augusto Pinochet
ویکی اقتباسات	Wikiquote
ویکی سفرنامہ	Wikivoyage
گھنٹا	Relógio
اوبنٹو	Ubuntu
اسکوپیہ	Escópia
لینکس	Linux
پیمائشیات	Metrologia
ریاضی	Matemática
لاطینی زبان	Língua latina
بحرین	Bahrein
آرمینیا	Arménia
خط میخنی	Escrita cuneiforme
ہگ بوسون	Bóson de Higgs
سربیا	Sérvia
چاند	Lua
استنبول	Istambul
لنڈا لولیس	Linda Lovelace
آسٹریلیا	Austrália
کارل ساگان	Carl Sagan
حیاتیات خلا	Exobiologia
طبیعیات	Física
ارجنٹائن	Argentina
بعید ابلاغیات	Telecomunicações
پیرو	Peru
حیاتیات	Biologia
شمالی کوریا	Coreia do Norte
کمبوڈیا	Camboja
قرآن	Alcorão
حیوان المہیب	Dinossauros
حیوانیات	Zoologia
اسلام	Islão
ناشپاتی	Pera
کتب خانہ اسکندریہ	Biblioteca de Alexandria
لیوبلیانا	Liubliana
نباتیات	Botânica
لیخ فاوینسا	Lech Wałęsa
پہیہ	Roda
عقل	Mente
امن	Paz
دائرۃ المعارف بریطانیکا	Encyclopædia Britannica
لیون	Lyon
یورپی اتحاد	União Europeia
پلوودیف	Plovdiv
حبالہ محیط عالم (مقالہ ثانی)	World Wide Web
عورت	Mulher
صوفیہ	Sófia
ڈان کے خوتے	Dom Quixote
نظم	Poesia
کمپیوٹر وائرس	Vírus de computador
ہیروشیما اور ناگاساکی میں ایٹمی بمباری	Bombardeamentos de Hiroshima e Nagasaki
میلان	Milão
دوستی	Amizade
تورینو	Turim
براز	Fezes
مقعد	Ânus
بغل	Axila
لیموں	Limão
کیلا	Banana
666ء	666
پھول	Flor
ماریانا ٹرینچ	Fossa das Marianas
ولادیمیر ویسوٹسکی	Vladimir Vysotsky
ماؤنٹ ایورسٹ	Monte Everest
تشریح (حیاتیات)	Anatomia
شہر	Cidade
نپولین	Napoleão Bonaparte
فعلیات	Fisiologia
ستارہ	Estrela
سورج	Sol
آسمان	Céu
لوئی پاسچر	Louis Pasteur
نوری سال	Ano-luz
گاؤں	Aldeia
وکٹر ہیوگو	Victor Hugo
اوقیانوسیہ	Oceania
گیریبالڈی	Giuseppe Garibaldi
ارویتو	Orvieto
ایتھلیٹکس	Atletismo
نظام شمسی	Sistema Solar
بحیرہ بالٹک	Mar Báltico
تریستے	Trieste
شانزے لیزے	Champs-Élysées
دانت	Dente
ہائیڈروجن	Hidrogénio
ہیلیئم	Hélio
ویکیمیڈیا العام	Wikimedia Commons
انگیلا میرکل	Angela Merkel
لیتھیئم	Lítio
بلوصر	Berílio
بلندگو	Altifalante
کتاب	Livro
دن	Dia
مشرقی تیمور	Timor-Leste
رات	Noite
سال	Ano
خط الوقت	Século
ویوربن	Villeurbanne
مونٹ بلانک	Monte Branco
دریائے رائن	Reno
اوسلو	Oslo
بون	Bona
کاتوویتس	Katowice
ثقب اسود	Buraco negro
مسدومی	Gay
لزبن	Lisboa
ایچیرو سوزوکی	Ichiro Suzuki
دریائے رون	Rio Ródano
دبئی	Dubai
لیونل میسی	Lionel Messi
نکولس کوپرنیکس	Nicolau Copérnico
کاربن	Carbono
دریائے وولگا	Rio Volga
نائٹروجن	Azoto
بیرگامو	Bérgamo
آکسیجن	Oxigénio
سیارہ	Planeta
قلوپطرہ	Cleópatra
موسیقی	Música
وینس	Veneza
دریائے پو	Rio Pó
شرم الشیخ	Sharm el-Sheikh
حر پیما	Termômetro
رین	Rennes
لیل	Lille
ماسکو	Moscovo
اطالوی زبان	Língua italiana
نیون	Néon
چہواہوا	Chihuahua
سینٹ پیٹرز برگ	São Petersburgo
چاڈ	Chade
سوڈیم	Sódio
شمال	Norte
ایلومینیم	Alumínio
نیوزی لینڈ	Nova Zelândia
جنوب	Sul
بھارت	Índia
فرانسیئم	Frâncio
تووالو	Tuvalu
فاسفورس	Fósforo
نثر	Prosa
لوہا	Ferro
ٹونگا	Tonga
مغرب-سمت	Oeste
گندھک	Enxofre
سامووا	Samoa
مشرق	Leste
جزائر سلیمان	Ilhas Salomão
وانواتو	Vanuatu
مولیر	Molière
پاپوا نیو گنی	Papua-Nova Guiné
ولیم شیکسپیئر	William Shakespeare
پلاؤ	Palau
ناورو	Nauru
موزیلا فائرفاکس	Mozilla Firefox
پوٹاشیم	Potássio
زی لینڈ	Zelândia (Países Baixos)
کیلشیم	Cálcio
سیسہ	Chumbo
جزائر مارشل	Ilhas Marshall
کیریباتی	Kiribati
منگولیا	Mongólia
فجی	Fiji
اسکینصر	Escândio
وینیزویلا	Venezuela
شطرنج	Xadrez
سگینؤ، مشی گن	Saginaw (Michigan)
چنگیز خان	Gengis Khan
مینے	Maine
گھوڑا	Equus ferus caballus
ایمسٹرڈیم	Amesterdão
اسلحہ	Arma
جانور	Animalia
سرینام	Suriname
پیراگوئے	Paraguai
گیانا	Guiana
فن	Arte
ایکواڈور	Equador
رہینیئم	Rênio
کولمبیا	Colômbia
کوبالٹ	Cobalto
ٹنگسٹن	Tungstênio
Nickel	Níquel
بدھ مت	Budismo
بولیویا	Bolívia
Osmium	Ósmio
تانبا	Cobre
نباتات	Plantae
سینٹ وینسینٹ و گریناڈائنز	São Vicente e Granadinas
جست	Zinco
نیو ہیمپشائر	Nova Hampshire
سینٹ لوسیا	Santa Lúcia
لیونارڈو ڈا ونچی	Leonardo da Vinci
سینٹ کیٹز و ناویس	São Cristóvão e Nevis
پھپھوند	Fungi
ڈاریو فو	Dario Fo
جمیکا	Jamaica
گریناڈا	Granada (país)
میساچوسٹس	Massachusetts
گوئٹے مالا	Guatemala
گوگل کروم	Google Chrome
بہاماس	Bahamas
کنیکٹیکٹ	Connecticut
مرغی	Gallus gallus domesticus
اینٹیگوا و باربوڈا	Antígua e Barbuda
ہوائی	Havaí
ہونڈوراس	Honduras
ڈومینیکا	Dominica
جرزی	Jersey
جمہوریہ ڈومینیکن	República Dominicana
سؤر	Sus domesticus
بحر منجمد شمالی	Oceano Ártico
ہیٹی	Haiti
ایل سیلواڈور	El Salvador
ایران	Irão
عراق	Iraque
الاسکا	Alasca
دانائی	Sapiência
کوسٹاریکا	Costa Rica
اسرائیل	Israel
پاناما	Panamá
یمن	Iémen
لوزان	Lausana
حُمہ	Vírus
اردن	Jordânia
نکاراگوا	Nicarágua
فلوریڈا	Flórida
کرغیزستان	Quirguistão
ایریزونا	Arizona
کویت	Kuwait
لاؤس	Laos
لبنان	Líbano
اوریگون	Oregon
مالدیپ	Maldivas
امریکین	América
یوٹاہ	Utah
گائے	Bos taurus
ملائیشیا	Malásia
میانمار	Myanmar
نیپال	Nepal
سلطنت عمان	Omã
پاکستان	Paquistão
جیمز بانڈ	James Bond
قطر	Catar
ٹینس	Ténis
سعودی عرب	Arábia Saudita
سری لنکا	Sri Lanka
جوزف استالن	Josef Stalin
شام	Síria
افلاطون	Platão
جوزف برودسکی	Joseph Brodsky
تاجکستان	Tajiquistão
پوکیمون	Pokémon
جمہوریۂ چین	República da China
یوٹیوب	YouTube
جرمانیئم	Germânio
ارسطو	Aristóteles
تھائی لینڈ	Tailândia
ریل گاڑی	Trem
زرنیخ	Arsênio
مشعہ	Rádio (telecomunicações)
ترکمانستان	Turquemenistão
اباکان	Abakan
Iridium	Irídio
متحدہ عرب امارات	Emirados Árabes Unidos
پلاٹینیم	Platina
ویتنام	Vietname
چارلی چیپلن	Charlie Chaplin
نووسیبیرسک	Novosibirsk
جنوبی کوریا	Coreia do Sul
دا سمپسنز	Os Simpsons
یاکاٹرنبرگ	Ecaterimburgo
افغانستان	Afeganistão
گانگنام اسٹائل	Gangnam Style
نزہنی نووگورود	Níjni Novgorod
جان رونالڈ روئل ٹولکین	J. R. R. Tolkien
سمارا، روس	Samara (Rússia)
سونا	Ouro
اومسک	Omsk
نہر سوئز	Canal de Suez
قازان	Cazã
سائنسدان	Cientista
بنگلہ دیش	Bangladesh
فرانز کافکا	Franz Kafka
چیلیابنسک	Cheliabinsk
روستوف-نا-دونو	Rostov do Don
جارج لوئی بورگیس	Jorge Luis Borges
اوفا	Ufa
مالی	Mali
سقراط	Sócrates
وولگو گراد	Volgogrado
انگولہ	Angola
پیرم	Perm
بھوٹان	Butão
ٹویٹر	Twitter
کراسنویارسک	Krasnoyarsk
برونائی دار السلام	Brunei
تنزانیہ	Tanzânia
پارہ	Mercúrio (elemento químico)
روآل آمونسن	Roald Amundsen
فلپائن	Filipinas
وسطی افریقی جمہوریہ	República Centro-Africana
تھیلیئم	Tálio
قطب جنوبی	Polo Sul
قطب شمالی	Polo Norte
آئزک نیوٹن	Isaac Newton
البرٹ آئنسٹائن	Albert Einstein
بسمیتھ	Bismuto
پیلا	Amarelo
کوانٹم میکانکس	Mecânica quântica
ٹوگو	Togo
تونس	Tunísia
زیمبیا	Zâmbia
زمبابوے	Zimbabwe
بیجنگ	Pequim
فہرستوں کی فہرست	Lista de listas
جنوبی سوڈان	Sudão do Sul
ولادیوستوک	Vladivostok
تووا	Tuva
بینن	Benim
بوٹسوانا	Botswana
برکینا فاسو	Burkina Faso
برونڈی	Burundi
اتحاد القمری	Comores
جمہوریہ کانگو	República do Congo
جمہوری جمہوریہ کانگو	República Democrática do Congo
سان انٹونیو	San Antonio
ٹومسک	Tomsk
جبوتی	Djibouti
پولونیئم	Polônio
بواریا	Baviera
استوائی گنی	Guiné Equatorial
بادن-وورتمبرگ	Baden-Württemberg
اریتریا	Eritreia
نئی دہلی	Nova Deli
فیودر دوستوئیفسکی	Fiódor Dostoiévski
جزیرہ نما کامچاٹکا	Península de Kamchatka
تبلیسی	Tbilisi
عیسٹاٹین	Ástato
گیبون	Gabão
موہن داس گاندھی	Mahatma Gandhi
کامکس	Banda desenhada
گیمبیا	Gâmbia
جمہوریہ گنی	Guiné
گنی بساؤ	Guiné-Bissau
کوت داوواغ	Costa do Marfim
کیمرون	Camarões
کیپ ورڈی	Cabo Verde
لیسوتھو	Lesoto
لائبیریا	Libéria
لیبیا	Líbia
آچن	Aquisgrano
مڈغاسکر	Madagáscar
ملاوی	Malawi
شٹوٹگارٹ	Estugarda
موریتانیہ	Mauritânia
مراکش	Marrocos
موزمبیق	Moçambique
نمیبیا	Namíbia
نائجر	Níger
نائجیریا	Nigéria
ڈارون	Charles Darwin
یوگنڈا	Uganda
روانڈا	Ruanda
ساؤ ٹومے و پرنسپے	São Tomé e Príncipe
سینیگال	Senegal
سیچیلیس	Seicheles
لنی اس	Carolus Linnaeus
سیرالیون	Serra Leoa
صومالیہ	Somália
جواہر لعل نہرو	Jawaharlal Nehru
جولیس سیزر	Júlio César
سوڈان	Sudão
سوازی لینڈ	Suazilândia
دھنک	Arco-íris
ہامبرگ	Hamburgo
استِقلاب	Metabolismo
نریندر مودی	Narendra Modi
مناعی نظام	Sistema imunitário
گجرات (بھارت)	Gujarate
جھیل انٹاریو	Lago Ontário
نظریۂ ارتقا	Evolução
اقوام متحدہ	Organização das Nações Unidas
جھیل سپیریئر	Lago Superior
دانتے الیگیری	Dante Alighieri
ارضیات	Geologia
احمد آباد	Ahmedabad
جغرافیہ	Geografia
قلب	Coração
دماغ	Cérebro
جلد	Pele
رنگ	Cor
اسم	Substantivo
پراگ	Praga
نیلا	Azul
چاندی	Prata
کیڈمیئم	Cádmio
قلع	Estanho
یورینیئم	Urânio
کحل	Antimônio
شمالی برابانٹ	Brabante do Norte
پلوٹونیئم	Plutónio
آیوڈین	Iodo
نیپچونیئم	Neptúnio
زینون	Xenônio
اینیمے	Anime
سیزیئم	Césio
Protactinium	Protactínio
برقی بار	Carga elétrica
بیریئم	Bário
Thorium	Tório
ہفنیئم	Háfnio
عیکٹنیئم	Actínio
Tantalum	Tântalo (elemento químico)
بل کلنٹن	Bill Clinton
لکسمبرگ (بیلجیم)	Luxemburgo (Bélgica)
ریڈیم	Rádio (elemento químico)
اہلن	Ahlen
ریڈون	Rádon
اندرا گاندھی	Indira Gandhi
ہیکٹر برلیوز	Hector Berlioz
جمنگر	Jamnagar
ممبئی	Bombaim
آندھرا پردیش	Andra Pradexe
اروناچل پردیش	Arunachal Pradesh
آسام	Assam
بہار (بھارت)	Bihar
مشی گن	Michigan
چھتیس گڑھ	Chhattisgarh
جھیل مشی گن	Lago Michigan
گوا	Goa
ہریانہ	Haryana
ہماچل پردیش	Himachal Pradesh
جموں و کشمیر	Jammu e Caxemira
پورٹو ریکو	Porto Rico
جھاڑکھنڈ	Jharkhand
کرناٹک	Karnataka
کیرلا	Querala
مدھیہ پردیش	Madhya Pradesh
یوسین بولٹ	Usain Bolt
مہاراشٹر	Maharashtra
منی پور	Manipur
شلسویگ-ہولشتائن	Schleswig-Holstein
میگھالیہ	Meghalaya
مکلنبرگ-ورپورمرن	Mecklemburgo-Pomerânia Ocidental
نیدرزاکسن	Baixa Saxônia
نوردرائن-ویسٹ فالیا	Renânia do Norte-Vestfália
ہیسے	Hesse
رائنلینڈ-پالاتینات	Renânia-Palatinado
سارلینڈ	Sarre
زاکسن	Saxônia
الینوائے	Illinois
تورینگن	Turíngia
زاکسن-آنہالت	Saxônia-Anhalt
شمالی ڈکوٹا	Dakota do Norte
برندنبرگ	Brandemburgo
برمن (ریاست)	Bremen (estado)
لومباردیہ	Lombardia
جنوبی ڈکوٹا	Dakota do Sul
مونٹانا	Montana
وائیومنگ	Wyoming
پیعیمونتے	Piemonte
یروشلم	Jerusalém
ایڈاہو	Idaho
وادی آوستہ	Vale de Aosta
ریاست واشنگٹن	Washington
ردرفورڈیئم	Rutherfórdio
نیواڈا	Nevada
ڈبنئیم	Dúbnio
سیبورگئیم	Seabórgio
ترینتینو جنوبی ٹائرول	Trentino-Alto Ádige
بحر ہند	Oceano Índico
وینیتو	Vêneto
بحیرہ کیریبین	Mar do Caribe
بورئیم	Bóhrio
فریولی وینیزیا جولیا	Friul-Veneza Júlia
ہاسیئم	Hássio
بان کی مون	Ban Ki-moon
کوفی عنان	Kofi Annan
لیگوریا	Ligúria
Meitnerium	Meitnério
کرٹ والڈہائیم	Kurt Waldheim
کولوراڈو	Colorado
ایمیلیا رومانیا	Emília-Romanha
اوتھاں	U Thant
دریائے کولوراڈو	Rio Colorado
ڈارمسٹادیئم	Darmstácio
فریڈرک شوپن	Frédéric Chopin
روٹجینیم	Roentgênio
تسکانہ	Toscana
مارکے	Marcas
امبریا	Úmbria
زمرہ:محتویات	Categoria:Conteúdo
لازیو	Lácio
آبروزو	Abruzos
الپس	Alpes
گرونوبل	Grenoble
پاسکل	Blaise Pascal
برون	Bron
ڈرافٹس	Damas
شکاگو, الینوائے	Chicago
بیٹلز	The Beatles
کومو	Como
ماستریخت	Maastricht
موسم سرما	Inverno
بہار	Primavera
موسم گرما	Verão
خزاں	Outono
صدام حسین	Saddam Hussein
اسامہ بن لادن	Osama bin Laden
ہسپانوی زبان	Língua castelhana
مونٹیویڈیو	Montevidéu
جوہن باخ	Johann Sebastian Bach
انتونیو ویوالدی	Antonio Vivaldi
تولیاتی	Togliatti
اوپرا	Ópera
فلاڈیلفیا, پنسلوانیا	Filadélfia
کولکاتہ	Calcutá
چینائی	Chennai
دلی	Deli
ڈھاکہ	Daca
بنگلور	Bangalore
مغربی بنگال	Bengala Ocidental
مکڑی	Aranha
مفصلی پایہ	Artrópode
حیدرآباد، دکن	Hyderabad (Andhra Pradesh)
اسلام آباد	Islamabad
تری پورہ	Tripura
پھل	Fruto
زر	Dinheiro
ورجینیا	Virgínia
مغربی ورجینیا	Virgínia Ocidental
میٹرہارن	Matterhorn
جھیل ہیورون	Lago Huron
نیویارک	Nova Iorque (estado)
سیریئم	Cério
Praseodymium	Praseodímio
رہوڈ آئی لینڈ	Rhode Island
Neodymium	Neodímio
حشرات	Insetos
میری لینڈ	Maryland
ڈیلاویئر	Delaware
ولادیمیر لینن	Lenin
یوروپیئم	Európio
اوہائیو	Ohio
ورجل	Virgílio
نکولو مکیاویلی	Nicolau Maquiavel
پنسلوانیا	Pensilvânia
بوکاچیو	Giovanni Boccaccio
لیوگی پیرنڈیلو	Luigi Pirandello
یوٹرسن	Uetersen
آگسٹس	Augusto
مائیکروسافٹ ونڈوز	Microsoft Windows
نیو جرسی	Nova Jérsia
جبل الطارق	Gibraltar
نیرو	Nero
انڈیانا	Indiana
نوکیا	Nokia
خودمتحرک	Automóvel
ٹائٹس	Tito (imperador)
جووینٹیس	Juventus Football Club
روجر فیڈرر	Roger Federer
جارجیا (امریکی ریاست)	Geórgia (Estados Unidos)
زغرب	Zagreb
راجستھان	Rajastão
کمپانیہ	Campânia
ٹیکساس	Texas
مولیزے	Molise
تامل ناڈو	Tamil Nadu
پلیہ	Apúlia
جینوا (اٹلی)	Génova
بازیلیکاتا	Basilicata
شمالی کیرولینا	Carolina do Norte
فیلڈ ہاکی	Hóquei em campo
جنوبی کیرولینا	Carolina do Sul
کلابریا	Calábria
صقلیہ	Sicília
منیلا	Manila
ساردینیا	Sardenha
سیبو شہر	Cebu (cidade)
دریائے سین	Sena
داوائو شہر	Davao
کویزون سٹی	Cidade Quezon
لو مان	Le Mans
کالوکان	Caloocan
بورڈو	Bordéus
کوریزون اکینو	Corazón Aquino
کاویت شہر	Cavite (cidade)
بیونس آئرس	Buenos Aires
میکسیکو شہر	Cidade do México
توکیو	Tóquio
لا پاز	La Paz
برشلونہ	Barcelona
انناس	Ananás
مسیسپی	Mississippi
فرڈیننڈ میگلان	Fernão de Magalhães
دریائے مسیسپی	Rio Mississippi
اتر پردیش	Uttar Pradesh
اتراکھنڈ	Uttarakhand
میزورم	Mizoram
کوبلیز	Cublize
سکم	Siquim
پیٹاگونیا	Patagónia
مکاتی	Makati
ٹینیسی	Tennessee
رچرڈ واگنر	Richard Wagner
ناگپور	Nagpur
آبدجان	Abidjã
ابوظہبی (شہر)	Abu Dhabi
آستانہ	Astana
نیو میکسیکو	Novo México
رمسيس ثانی	Ramsés II
ایتھنز	Atenas
مینیسوٹا	Minnesota
بغداد	Bagdá
کراکس	Caracas
سینٹ-جست-دورے	Saint-Just-d'Avray
متناسق عالمی وقت	Tempo Universal Coordenado
وسکونسن	Wisconsin
پونہ	Pune
رونو	Ronno
آئیووا	Iowa
والسن	Valsonne
نیبراسکا	Nebraska
گوئٹے مالا شہر	Cidade da Guatemala
کنساس	Kansas
ہوانا	Havana
تمباکو	Tabaco
ہندی زبان	Língua hindi
مراٹھی زبان	Língua marata
آواسٹ	Avast! Antivírus
گنیش	Ganexa
مسوری	Missouri
جارج سائمن اوہم	Georg Simon Ohm
لوزیانا	Luisiana
ناگالینڈ	Nagaland
کینٹکی	Kentucky
آرکنساس	Arkansas
نیل آرمسٹرانگ	Neil Armstrong
اردو	Língua urdu
ولنزولا، فلپائن	Valenzuela (Filipinas)
پاسیگ	Pasig
زامبوانگا شہر	Zamboanga
ایڈتھ پیاف	Édith Piaf
انتیپولو	Antipolo
تاگیوگ	Taguig
ایلب	Rio Elba
کاگیان دی اورو	Cagayan de Oro
اوکلاہوما	Oklahoma
دریائے ڈینیوب	Rio Danúbio
بحیرہ شمال	Mar do Norte
ماسکو اوبلاست	Oblast de Moscou
ہینور	Hanôver
ڈسلڈورف	Düsseldorf
بالانگا، باتآن	Balanga
ساربرکن	Saarbrücken
میونخ	Munique
سمارا اوبلاست	Oblast de Samara
والی بال	Voleibol
انسبروک	Innsbruck
بریگنز	Bregenz
ویانا	Viena
میڈونا	Madonna
کوپن ہیگن	Copenhaga
کیلننگراڈ اوبلاست	Oblast de Kaliningrado
سٹاکہوم	Estocolmo
ہلسنکی	Helsínquia
مورمانسک اوبلاست	Oblast de Murmansk
ڈبلن	Dublin
مورمانسک	Murmansk
ریکیاوک	Reykjavík
ٹالن	Tallinn
ریگا	Riga
زنجبار	Zanzibar
لوئی آرمسٹرانگ	Louis Armstrong
براٹیسلاوا	Bratislava
بوداپست	Budapeste
فرینکفرٹ	Frankfurt am Main
وراتسواف	Breslávia
کوچی	Cochim
مکتوم	Lantânio
Promethium	Promécio
فلکیاتی اکائی	Unidade astronômica
سین-تروپے	Saint-Tropez
سمارئیم	Samário
باگیؤ	Baguio
آچے	Achém
کیلننگراڈ	Kaliningrado
گیڈولنیئم	Gadolínio
زین الدین یزید زیدان	Zinédine Zidane
ٹربیئم	Térbio
لکسمبرگ (شہر)	Luxemburgo (cidade)
ڈسپروزیئم	Disprósio
واڈوز	Vaduz
